sensor_id,timestamp,waste_type,inductive_property,capacitive_property,moisture_property,infrared_property
4,2023-12-16 17:30:00,0,0.73,0.16,0.78,28.6
3,2023-10-28 03:00:00,1,0.93,0.15,0.98,85.76
2,2024-03-10 08:15:00,0,1.27,0.17,0.37,95.97
3,2023-09-30 19:45:00,0,0.79,0.42,0.62,99.76
2,2024-02-04 18:15:00,2,1.05,0.39,0.14,77.28
4,2024-02-08 07:30:00,1,0.95,0.46,0.94,49.83
4,2024-03-14 04:00:00,1,1.1,0.48,0.61,35.19
4,2023-11-27 21:15:00,1,1.15,0.71,0.44,46.23
4,2023-12-17 05:15:00,0,1.15,0.73,0.94,9.42
3,2023-09-03 09:00:00,1,1.14,0.9,0.41,63.85
4,2023-12-22 13:45:00,2,1.15,0.12,0.74,41.46
4,2023-12-18 12:15:00,1,1.29,0.42,0.95,62.05
4,2024-02-04 17:45:00,2,0.96,0.61,0.53,86.12
2,2024-02-10 04:30:00,2,0.87,0.2,0.26,30.22
1,2023-09-03 01:15:00,0,0.88,0.59,0.05,46.35
4,2024-03-21 04:00:00,2,0.61,0.64,0.44,25.87
2,2023-12-09 07:15:00,1,0.77,0.62,0.33,53.24
1,2023-11-26 18:45:00,2,1.05,0.28,0.52,47.78
3,2023-09-05 05:45:00,1,1.17,0.06,0.64,52.94
1,2023-09-28 03:30:00,0,0.83,0.58,0.9,62.3
3,2023-12-22 21:30:00,2,0.75,0.75,0.42,0.69
3,2024-03-10 13:00:00,2,1.14,0.92,0.01,52.43
4,2023-10-12 20:00:00,2,1.37,0.12,0.85,34.93
4,2023-09-24 18:45:00,0,1.36,0.72,0.06,74.44
1,2023-12-02 21:15:00,0,1.12,0.32,0.15,76.48
2,2024-02-26 08:45:00,0,0.77,0.38,0.52,92.47
2,2024-01-09 02:45:00,1,1.15,0.27,0.55,31.11
1,2024-03-07 10:45:00,1,0.78,0.81,0.46,96.2
4,2024-01-22 09:30:00,2,1.13,0.45,0.61,8.83
2,2023-11-27 22:45:00,1,0.97,0.98,0.91,22.72
1,2023-11-08 16:30:00,0,0.99,0.33,0.14,96.46
1,2023-09-17 02:15:00,1,0.88,0.65,0.19,86.23
3,2023-11-18 05:15:00,2,0.9,0.26,0.34,80.9
2,2024-02-03 19:00:00,0,1.13,1.0,0.81,58.51
3,2023-09-06 06:00:00,2,0.87,0.49,0.06,8.07
1,2024-03-15 03:45:00,1,1.06,0.01,0.38,49.11
4,2024-01-01 19:30:00,1,1.01,0.14,0.0,9.0
4,2023-09-12 18:15:00,1,0.82,0.41,0.3,81.99
3,2023-11-03 00:00:00,2,1.39,0.01,0.36,66.13
3,2023-12-12 12:45:00,1,0.99,0.89,0.07,53.63
4,2023-11-29 12:15:00,2,1.01,0.14,0.03,45.06
2,2023-09-03 10:00:00,1,1.27,0.98,0.69,65.14
4,2023-09-29 21:15:00,1,0.79,0.54,0.45,39.88
3,2023-09-21 19:45:00,2,0.88,0.67,0.01,61.32
2,2024-01-07 08:30:00,1,0.82,0.04,0.01,29.0
3,2024-03-18 21:30:00,1,1.05,0.98,0.97,31.13
4,2024-01-22 15:15:00,0,1.06,0.95,0.12,99.94
4,2023-11-10 06:00:00,0,0.66,0.24,0.59,32.4
2,2024-03-17 10:00:00,2,1.38,0.65,0.86,77.92
1,2024-01-08 12:00:00,1,1.4,0.4,0.02,62.91
2,2023-12-16 07:00:00,2,0.9,0.02,0.99,23.09
1,2023-12-17 00:15:00,0,1.12,0.97,0.08,9.73
4,2023-10-03 02:15:00,2,1.24,0.37,0.52,70.84
4,2023-10-19 22:15:00,0,1.21,0.88,0.37,68.33
4,2024-01-18 01:15:00,0,1.2,0.43,0.72,79.77
1,2023-10-16 02:15:00,1,0.66,0.07,0.69,86.78
3,2023-09-17 07:45:00,0,0.97,0.72,0.82,92.28
1,2024-03-03 19:00:00,1,1.09,0.65,0.76,77.69
2,2023-09-26 21:00:00,0,0.83,0.05,0.59,7.28
2,2023-09-18 06:45:00,2,0.69,0.65,0.25,3.27
4,2024-03-24 04:30:00,2,0.92,0.99,0.25,48.3
3,2023-09-24 20:15:00,0,1.19,0.85,0.95,32.36
3,2023-10-19 05:45:00,0,1.02,0.8,0.61,58.4
2,2023-10-15 14:30:00,0,1.02,0.67,0.49,34.5
4,2023-09-19 08:15:00,0,1.05,0.43,0.15,0.38
2,2023-09-23 18:15:00,1,0.96,0.96,0.92,92.19
1,2023-10-01 00:45:00,1,1.38,0.41,0.68,1.27
4,2024-02-07 01:45:00,2,0.63,0.63,0.03,25.63
2,2023-10-13 09:15:00,1,0.83,0.79,0.21,31.6
3,2023-11-21 23:45:00,0,1.12,0.82,0.91,32.92
4,2024-02-10 11:00:00,2,1.2,0.29,0.6,88.6
4,2023-09-30 07:15:00,1,1.01,0.36,0.31,47.53
